permno_year,publn_nr,mahal_dist
US0001011992,14329583,110.47408336698138
US0001011992,14337619,314.70777517571776
US0001011992,14337652,68.59796962722793
US0001011992,14340799,182.69546928441025
US0001011992,14344266,315.3561402834134
US0001011992,14345144,180.6585599841286
US0001011992,14345512,98.72122362340592
US0001011992,14346146,156.3716004040385
US0001011992,14349285,98.79747930088237
US0001011992,14350302,182.43789426795868
US0001011992,14352144,50.4423720186881
US0001001992,14354656,121.58318001938149
US0001011992,14356803,302.695902553028
US0001011992,14360395,118.65040627045117
US0001011992,14360851,217.61266265122472
US0001011992,14366119,134.18477220010607
US0001001993,14410756,65.84050602156735
US0001001994,14463907,130.939001763947
US0001001995,14513086,152.77419233902046
US0001001995,14517263,134.68925596796586
US0001001996,14557476,114.42827025905143
US0001001997,14626338,223.02850361316806
US0001001997,14654361,233.2379043036635
US0001001998,14694504,222.68481710172492
US0001001998,14710848,315.57650065812675
US0001001998,14712392,152.00766360669874
US0001001998,14716089,131.02769249878997
US0001001999,14769214,125.52522563263818
US0001001999,14781570,166.1783559958412
US0001001999,14791806,106.07040238429082
US0001001999,14822967,297.83538791895194
US0001002005,15197935,125.10948059004754
US0001002005,15199374,161.34829494039718
US0001001989,15284545,111.8972298826289
US0001011988,15424287,181.26897789319653
US0001002000,15468272,139.11971770562403
US0001011990,15493005,315.81770399459975
US0001011991,15499116,156.14357143517225
US0001001992,15509727,201.54061025323867
US0001001993,15521133,118.26122524305376
US0001001995,15528655,210.75839912262347
US0001001997,15542538,315.8191150388603
US0001001994,15587979,215.3842338557091
US0001011991,15658797,151.5115221353044
US0001002000,15775039,107.33624281257073
US0001002000,15784225,221.56492315303194
US0001002001,15872508,140.37969972848916
US0001002001,15894257,124.43968236658385
US0001002003,16038853,139.28084388829745
US0001002003,16046742,290.71567308375006
US0001002003,16063461,221.73628905093784
US0001002003,16071632,56.96569099474882
US0001002003,16076190,313.5226825166244
US0001002003,16077597,313.5226825166244
US0001002005,16279647,155.87814397899055
US0001002005,16279697,233.05740641717153
US0001002006,16331179,214.22686041680785
US0001002006,16354641,154.50596271119315
US0001002006,16359806,306.48578415516585
US0001002006,16359816,177.5192484818653
US0001002007,16416624,119.3962230219208
US0001001986,16620811,150.91397185881289
US0001011986,16624589,97.16981296295427
US0001011986,16624754,134.60233720879967
US0001011986,16627613,71.6053057581849
US0001011986,16628350,115.04639037382229
US0001011986,16630973,216.67855209630346
US0001011986,16636744,128.58758359976412
US0001011986,16637130,181.15865410033163
US0001011986,16638754,313.5316484735535
US0001011986,16639729,117.72811462668943
US0001001987,16657406,78.01715811913806
US0001011987,16657556,166.60524432281176
US0001011987,16662976,181.40926163831492
US0001011987,16666121,222.1817106082791
US0001001987,16667109,199.54318621884312
US0001011987,16672875,101.51746822612986
US0001011987,16673012,218.14899552939193
US0001011987,16673170,103.96520606835247
US0001011987,16674418,74.09580532372341
US0001011987,16678891,178.17820378798535
US0001011987,16680202,217.0566792739818
US0001011988,16702941,119.98056558104078
US0001011988,16703609,135.74630013017824
US0001011988,16713097,141.2310352778374
US0001011988,16714331,103.4548876564508
US0001011988,16716615,85.97784656707833
US0001001988,16718867,162.0149156828253
US0001011988,16719578,84.44546840351656
US0001011988,16719710,221.08015066456963
US0001011988,16730010,124.83882449251023
US0001011989,16750365,93.554933051996
US0001011989,16755720,167.05171411793336
US0001001989,16756373,150.53762182806838
US0001011989,16764725,145.0875503284219
US0001011989,16769567,156.76261373510147
US0001011989,16770136,178.2682340442279
US0001011989,16786429,302.8133245219903
US0001011989,16787341,108.83832307017055
US0001011990,16806360,150.13774613889004
US0001011990,16809466,60.5483649342897
US0001011990,16809608,157.69182897696612
US0001011990,16810712,83.26191306879502
US0001011990,16814376,117.1971223346175
US0001011990,16823988,119.18178409370532
US0001011990,16835686,81.37686866888063
US0001011990,16837843,158.04099167008022
US0001001990,16859852,95.95434652925934
US0001011990,16861111,158.16906132476925
US0001011991,16866170,111.2822657139811
US0001011991,16868034,108.29576085095914
US0001011991,16869964,315.39257127463935
US0001011991,16871834,222.53320525469894
US0001011991,16871970,94.72175193183261
